"...2","Arima","Base_Model","Extension_1","Extension_2","Extension_3"
1,0.4565731119921479,0.357579542613584,0.354852513108744,0.385655402315548,0.324880836569541
2,0.7729268193480641,0.672525664718013,0.692486612120249,0.669606085505808,0.60104489132491
3,0.24862736826494827,0.138690302122981,0.140125972354556,0.162533061166308,0.155776925084028
